Date,actual_level,fair_level,predicted_change,residual
2018-04-19,60.125,60.740071793775826,0.6150717937758292,-0.6150717937758259
2018-04-20,60.874,61.7071949743468,0.9671231805709678,-0.8331949743467959
2018-04-23,61.76,61.562746758209016,-0.14444821613778183,0.1972532417909818
2018-04-24,62.275,63.311009362023256,1.7482626038142395,-1.0360093620232576
2018-04-25,61.533,63.06807408465932,-0.24293527736392995,-1.5350740846593212
2018-04-26,60.093,61.867876863559125,-1.200197221100198,-1.7748768635591219
2018-04-27,60.154,61.68611052972597,-0.1817663338331564,-1.5321105297259692
2018-04-30,60.698,62.71017128197403,1.0240607522480596,-2.0121712819740267
2018-05-01,60.792,62.37312725842489,-0.33704402354913954,-1.5811272584248854
2018-05-02,61.507,63.27773435665627,0.9046070982313752,-1.7707343566562699
2018-05-03,62.349,63.62074107630112,0.34300671964485785,-1.2717410763011259
2018-05-04,61.606,62.13872922105102,-1.4820118552501005,-0.5327292210510208
2018-05-07,62.035,61.875206727940316,-0.2635224931107043,0.1597932720596802
2018-05-08,62.434,61.87666169813846,0.0014549701981426408,0.5573383018615345
2018-05-09,61.252,60.56508592777652,-1.3115757703619384,0.6869140722234803
2018-05-10,59.521,59.80927345446241,-0.7558124733141178,-0.2882734544624057
2018-05-11,59.294,59.531553135601605,-0.2777203188607976,-0.2375531356016083
2018-05-14,59.648,59.49017229806569,-0.04138083753592023,0.15782770193431617
2018-05-15,61.275,60.46450463822936,0.9743323401636728,0.8104953617706414
2018-05-16,60.93,59.724401910743005,-0.7401027274863567,1.2055980892569949
2018-05-17,60.906,59.860734563349794,0.13633265260679084,1.0452654366502045
2018-05-18,61.884,60.37865648687864,0.517921923528849,1.5053435131213604
2018-05-21,61.792,59.598872418315885,-0.7797840685627584,2.1931275816841165
2018-05-22,61.574,60.01212126985883,0.4132488515429444,1.5618787301411672
2018-05-23,61.933,59.84905428673546,-0.16306698312337037,2.0839457132645407
2018-05-24,62.139,60.19857954823929,0.34952526150382907,1.9404204517607155
2018-05-25,63.221,60.86520995561861,0.666630407379325,2.3557900443813864
2018-05-30,65.181,58.82641237685349,-2.038797578765122,6.354587623146507
2018-05-31,66.808,59.70600451614901,0.8795921392955208,7.101995483850999
