model,n_train,k_params,r2,adj_r2,aic,bic
RatesVolEquity_d,952,6,0.48539303273187273,0.4826731227568827,4201.461805734185,4230.613195942933
CrossMarket_d,916,6,0.5163953810044829,0.5137382127682438,4015.1606232988697,4044.0807214869146
InflationMacro_d,940,5,0.1457377530485482,0.14208315520062742,4632.398733097136,4656.628132473456
FXBasisPolicy_d,667,6,0.0565943520974489,0.049458152037671566,3547.6125912126854,3574.629331488179
