Date,actual_level,fair_level,residual
2019-12-27,43.9475,71.55917104544226,-27.611671045442257
2019-12-30,44.975,72.69512427256458,-27.720124272564583
2020-01-03,45.8354,73.67243632584864,-27.837036325848636
2020-01-08,45.1127,72.76935864477667,-27.656658644776677
2020-01-09,43.8438,71.88275393687942,-28.038953936879423
2020-01-10,44.195,72.41924542740307,-28.22424542740307
2020-01-13,44.1325,71.51114662376047,-27.378646623760467
2020-01-14,44.7163,71.91092411847436,-27.19462411847436
2020-01-15,44.715,71.88021399152052,-27.165213991520517
2020-02-25,55.4087,83.97048702936715,-28.561787029367146
2020-02-27,64.5813,93.00784510374172,-28.426545103741717
2020-02-28,66.4775,94.72934318740823,-28.251843187408227
2020-06-15,69.8888,97.15513886728729,-27.26633886728729
2020-09-21,52.3825,90.92910597981971,-38.54660597981971
2020-09-22,52.5,89.49853263362914,-36.99853263362914
2020-09-23,57.5187,92.86551197663334,-35.34681197663334
2020-09-24,58.3075,92.59938180313367,-34.29188180313367
2020-09-25,59.1175,90.2742015430171,-31.1567015430171
2020-09-28,57.6738,88.39284925408786,-30.719049254087864
2020-09-29,60.3188,89.0843260722858,-28.7655260722858
2020-09-30,59.2138,88.08468831748505,-28.870888317485047
2020-10-01,58.6425,87.62570373395295,-28.983203733952948
2020-10-02,59.9013,89.05116116702034,-29.14986116702034
2020-10-05,56.63,86.77566009890096,-30.145660098900954
2020-10-06,58.3625,89.12700849133633,-30.76450849133633
2020-10-07,55.8525,86.54353456618729,-30.69103456618729
2020-10-08,54.835,85.18147560183434,-30.346475601834335
2020-10-09,53.205,83.8280955928649,-30.6230955928649
2020-10-14,56.145,84.83814494499296,-28.69314494499296
2020-10-15,56.5675,85.24212205288656,-28.674622052886555
2020-10-16,56.5913,85.37345709252634,-28.78215709252634
2020-10-19,58.4688,87.89804706358714,-29.42924706358714
2020-10-20,57.8404,87.38830777596195,-29.547907775961946
2020-10-21,57.115,87.42896661525907,-30.31396661525907
2020-10-22,57.2025,86.60691870176845,-29.40441870176845
2020-10-23,56.5662,86.14380878233216,-29.577608782332156
2020-10-26,58.775,89.99818651023465,-31.223186510234648
2020-10-27,59.9175,90.79371031775392,-30.876210317753923
2020-10-28,63.845,97.03182944588262,-33.18682944588262
2020-10-29,65.1575,94.82064726725137,-29.663147267251375
2020-10-30,65.4625,96.30050030338005,-30.838000303380042
2020-11-02,63.0913,94.77872966825149,-31.68742966825149
2020-11-03,59.9125,92.12054444203989,-32.208044442039885
2020-11-04,57.4638,88.34827491611617,-30.88447491611617
2020-11-05,53.4625,85.47820639225293,-32.01570639225293
2020-11-06,53.3587,84.67890096464475,-31.320200964644755
2020-11-09,52.2225,83.17185390508459,-30.949353905084592
2020-11-10,52.9763,83.0500210239288,-30.073721023928805
2020-11-17,52.7,80.03253800242338,-27.332538002423377
2020-11-18,54.5125,81.87257816209245,-27.36007816209245
2020-11-19,53.8288,81.38118507322247,-27.552385073222467
2020-11-23,54.2825,81.4903587082564,-27.207858708256396
2020-11-24,51.6688,79.13082892957527,-27.462028929575276
2020-11-30,50.1063,79.92050509395315,-29.814205093953156
2020-12-01,49.9588,78.28783715427268,-28.329037154272683
2020-12-02,50.1413,78.21589341037085,-28.074593410370852
2020-12-03,49.8225,78.50526055967302,-28.68276055967302
2020-12-04,49.9362,77.09597098069906,-27.159770980699065
2020-12-30,51.1375,78.94341318197755,-27.805913181977544
2020-12-31,49.8955,78.1722389774842,-28.2767389774842
