Date,actual_level,fair_level,predicted_change,residual
2019-01-24,74.1006,74.12415940010129,0.023559400101296108,-0.023559400101291317
2019-01-25,72.2425,72.79442295145306,-1.3297364486482386,-0.5519229514530508
2019-01-28,73.1379,73.89557292536753,1.101149973914472,-0.7576729253675296
2019-01-29,72.4,74.3771444430769,0.48157151770937257,-1.9771444430768952
2019-01-30,69.1425,73.0984739847348,-1.278670458342112,-3.955973984734797
2019-01-31,66.1129,72.68699233345666,-0.4114816512781259,-6.574092333456662
2019-02-01,66.8611,72.12942090582997,-0.55757142762669,-5.268320905829981
2019-02-04,65.1217,71.1374487013769,-0.9919722044530829,-6.015748701376893
2019-02-05,64.2025,70.79018500563362,-0.347263695743278,-6.587685005633617
2019-02-06,66.1087,71.0102918825725,0.22010687693888714,-4.901591882572504
2019-02-07,68.4975,72.33135686419475,1.3210649816222513,-3.8338568641947433
2019-02-08,67.1838,72.30749529076019,-0.02386157343455797,-5.123695290760182
2019-02-11,67.8395,72.20831845621625,-0.09917683454395296,-4.368818456216246
2019-02-12,64.7789,70.5804017766853,-1.627916679530937,-5.801501776685313
2019-02-13,65.2,70.22142288634923,-0.3589788903360764,-5.021422886349228
2019-02-14,64.9225,70.85716610090462,0.6357432145553875,-5.9346661009046215
2019-02-15,62.5151,69.51994462051647,-1.3372214803881388,-7.004844620516472
2019-02-20,60.471,69.13487588568756,-0.38506873482890613,-8.663875885687567
2019-02-21,61.9026,69.30101285052413,0.16613696483656165,-7.398412850524132
2019-02-22,61.3813,68.66330033498558,-0.6377125155385511,-7.282000334985575
2019-02-25,61.0013,68.64254925189721,-0.020751083088375564,-7.641249251897207
2019-02-26,60.5588,68.89999293541852,0.25744368352132396,-8.341192935418526
2019-02-27,59.725,68.54653424940167,-0.35345868601685815,-8.821534249401672
2019-02-28,60.1587,68.78432790417466,0.23779365477298978,-8.625627904174657
2019-03-01,59.2788,67.49502892535843,-1.2892989788162337,-8.216228925358429
2019-03-04,59.8225,68.2557915878596,0.7607626625011742,-8.433291587859607
2019-03-05,61.1938,68.42610038988467,0.17030880202505924,-7.232300389884664
2019-03-06,62.8899,69.36007507277029,0.933974682885632,-6.470175072770289
2019-03-07,63.9475,70.64068027838536,1.2806052056150692,-6.693180278385363
2019-03-08,63.6372,70.83837169921888,0.19769142083352564,-7.201171699218882
2019-03-11,59.9813,68.92756625426205,-1.910805444956838,-8.94626625426205
2019-03-12,59.58,68.7082102989341,-0.2193559553279445,-9.128210298934107
2019-03-13,58.145,67.73648985566302,-0.971720443271084,-9.59148985566302
2019-03-14,58.4275,67.72956255015623,-0.006927305506786857,-9.30206255015623
2019-03-15,57.9269,67.24284966730612,-0.48671288285012215,-9.315949667306114
2019-03-18,57.185,66.6692831406483,-0.5735665266578154,-9.484283140648301
2019-03-19,57.6325,66.72134357942132,0.05206043877301539,-9.088843579421315
2019-03-20,65.7875,67.42197312642176,0.7006295470004495,-1.6344731264217671
2019-03-21,64.5075,66.02221651698969,-1.399756609432069,-1.5147165169896937
2019-03-22,68.1313,69.22966783092143,3.207451313931734,-1.0983678309214326
2019-03-25,68.8012,69.50899600541565,0.27932817449423164,-0.7077960054156591
2019-03-26,68.181,68.33769172480264,-1.1713042806130263,-0.15669172480264137
2019-03-27,68.3438,69.33841991940933,1.0007281946067046,-0.994619919409331
2019-03-28,66.275,68.72029744039428,-0.618122479015057,-2.4452974403942704
2019-03-29,63.3813,68.13978528488929,-0.5805121555049947,-4.758485284889282
2019-04-01,61.6138,65.75740644534099,-2.382378839548291,-4.143606445340993
2019-04-02,62.17,65.94224759387644,0.18484114853545486,-3.7722475938764433
2019-04-03,61.9375,65.30873883071772,-0.6335087631587257,-3.371238830717715
2019-04-04,61.1413,65.10871269562276,-0.20002613509496758,-3.9674126956227553
2019-04-05,60.0375,64.64814107012052,-0.46057162550223285,-4.610641070120515
2019-04-08,60.019,64.32683042681369,-0.32131064330683384,-4.3078304268136876
2019-04-09,60.7537,65.29690577390821,0.9700753470945271,-4.5432057739082055
2019-04-10,59.4275,65.05490299204283,-0.24200278186538976,-5.627402992042825
2019-04-11,58.8,64.7666641370679,-0.28823885497491736,-5.966664137067909
2019-04-12,56.26,63.32099936702263,-1.445664770045279,-7.060999367022632
2019-04-15,56.4263,63.52295702939107,0.2019576623684449,-7.096657029391075
2019-04-16,57.3645,63.12246068378557,-0.4004963456055048,-5.757960683785569
2019-04-17,57.6425,63.40584063264486,0.28337994885929263,-5.763340632644862
2019-04-18,57.494,63.44512868447645,0.03928805183158754,-5.951128684476451
2019-04-23,56.827,62.53170264700625,-0.9134260374702012,-5.7047026470062505
2019-04-24,58.1475,63.22020025119319,0.6884976041869393,-5.07270025119319
2019-04-25,58.6213,63.15658736215889,-0.06361288903429832,-4.53528736215889
2019-04-26,57.1459,62.79210310766245,-0.3644842544964418,-5.646203107662451
2019-04-29,57.745,62.44053092556515,-0.35157218209729724,-4.695530925565151
2019-04-30,57.4013,62.707942196171025,0.26741127060587544,-5.306642196171026
2019-05-01,58.925,63.726174470814,1.0182322746429793,-4.801174470814004
2019-05-02,58.8587,63.61061829549667,-0.11555617531733037,-4.751918295496672
2019-05-03,57.624,62.36813549959732,-1.2424827958993503,-4.74413549959732
2019-05-06,58.5888,63.58161801623168,1.213482516634355,-4.992818016231681
2019-05-07,60.8831,66.09301110755021,2.5113930913185287,-5.209911107550212
2019-05-08,62.2287,66.05568122489792,-0.037329882652289204,-3.8269812248979207
2019-05-09,63.0533,66.69143154954428,0.6357503246463606,-3.6381315495442763
2019-05-10,60.607,65.77417933198919,-0.917252217555083,-5.167179331989189
2019-05-13,65.6038,69.53275515090803,3.758575818918843,-3.928955150908024
2019-05-14,63.39,68.23683938781434,-1.2959157630936906,-4.846839387814342
2019-05-15,63.4588,67.65198949422654,-0.5848498935877999,-4.193189494226544
2019-05-16,62.2875,66.30295213364397,-1.3490373605825836,-4.015452133643969
2019-05-17,63.4002,67.12415464426617,0.8212025106222085,-3.723954644266172
2019-05-20,64.0639,67.7480909144555,0.6239362701893316,-3.684190914455499
2019-05-21,62.9025,66.58073626448041,-1.1673546499751033,-3.678236264480404
2019-05-22,63.3462,67.23746560064805,0.6567293361676472,-3.8912656006480475
2019-05-23,65.0263,69.31586976638998,2.0784041657419334,-4.289569766389974
2019-05-24,64.7503,69.06033441016264,-0.25553535622734785,-4.310034410162643
2019-05-29,67.2088,69.8690706743229,0.8087362641602612,-2.660270674322902
2019-05-30,66.7188,69.87780889681001,0.00873822248712032,-3.1590088968100076
