model,variable,coefficient,std_error,t_statistic,significant_5pct
RatesVolEquity_d,Intercept,0.07668238458620072,0.07120752320513839,1.076885996515987,No
RatesVolEquity_d,VIX,0.2683372737101931,0.05303480060729857,5.059645188394748,Yes
RatesVolEquity_d,S&P,-0.03610234803257476,0.0030418361184121603,-11.868603904742969,Yes
RatesVolEquity_d,UST10,-4.1267112887827055,2.0740281687990256,-1.989708409395565,Yes
RatesVolEquity_d,USYC,1.0594568659202412,2.969912728350583,0.35672996576860283,No
RatesVolEquity_d,SOFR,0.23355068426863856,0.5032976296227829,0.46404089851105146,No
CrossMarket_d,Intercept,-0.02226003197255258,0.07139164874343269,-0.3118016233600471,No
CrossMarket_d,ITRX IG,0.8238291314731064,0.06323796057803548,13.027446235501277,Yes
CrossMarket_d,ITRX XO,0.02755628388633011,0.014676504329495485,1.8775781526497446,No
CrossMarket_d,ESTX600,0.08110792204497057,0.025118013863336917,3.2290738625380873,Yes
CrossMarket_d,EURUSD,-17.85607765202088,15.410961766163547,-1.1586608235720792,No
CrossMarket_d,DEM10,1.430662931245792,2.1389205771102033,0.6688714609397486,No
InflationMacro_d,Intercept,0.03512762209932741,0.09267676530052317,0.3790337522616266,No
InflationMacro_d,CO,-0.03717022713873181,0.1137095503389499,-0.32688746924012396,No
InflationMacro_d,US5BEI,-22.6175904148615,2.5918241181630446,-8.726514371234309,Yes
InflationMacro_d,UST2,-13.105564062378345,2.900099933379339,-4.519004297588841,Yes
InflationMacro_d,DEM2,-3.368370682047306,4.443472423900521,-0.7580491923229984,No
FXBasisPolicy_d,Intercept,0.007335152128945618,0.1333831168033556,0.054993107859068135,No
FXBasisPolicy_d,EURUSD,-68.44706131099993,26.566729371638214,-2.5764203170628828,Yes
FXBasisPolicy_d,EURUSD3mBS,0.1499334548238377,0.029133752736042174,5.146383172201185,Yes
FXBasisPolicy_d,SOFR,-6.526519863969622,2.143364317318874,-3.0449885776458294,Yes
FXBasisPolicy_d,ESTR,-6.289246494692615,6.859922415293974,-0.916810149437105,No
FXBasisPolicy_d,DEYC,-3.5898291710218557,4.372267472318116,-0.8210451885091508,No
